iter	RMSE
0	14.75380428
1	14.4871669
2	14.23389004
3	14.01953533
4	13.79833331
5	13.59030389
6	13.41411803
7	13.218037
8	13.06876444
9	12.92335139
10	12.80525037
11	12.68313758
12	12.57546408
13	12.48547198
14	12.38687503
15	12.29082512
16	12.20440758
17	12.11350637
18	12.04734595
19	11.98151575
20	11.91542675
21	11.85809371
22	11.79978112
23	11.74891887
24	11.69707819
25	11.6601747
26	11.61173949
27	11.57726756
28	11.54380139
29	11.51645842
30	11.48340598
31	11.45002666
32	11.42580667
33	11.40937405
34	11.38832325
35	11.36266433
36	11.34157759
37	11.30676379
38	11.28470143
39	11.26202569
40	11.2385815
41	11.21961469
42	11.19692332
43	11.17244865
44	11.15345967
45	11.14318598
46	11.12315673
47	11.11132356
48	11.09248411
49	11.06620946
50	11.05541542
51	11.03308549
52	11.02547189
53	11.01168185
54	10.99499056
55	10.98128231
56	10.97214495
57	10.96154669
58	10.95042456
59	10.93842932
60	10.92464953
61	10.9126516
62	10.89998454
63	10.89137033
64	10.88270366
65	10.87109602
66	10.86233234
67	10.85197513
68	10.84222427
69	10.82881134
70	10.82288516
71	10.8066573
72	10.79460715
73	10.78009787
74	10.76800334
75	10.75860552
76	10.74432114
77	10.72974328
78	10.72285418
79	10.70442276
80	10.69470378
81	10.68822198
82	10.67496064
83	10.66867066
84	10.65264595
85	10.64667448
86	10.63809474
87	10.63277322
88	10.62657197
89	10.61702554
90	10.60103122
91	10.59580044
92	10.58227289
93	10.57591148
94	10.56305563
95	10.55028202
96	10.54161828
97	10.53512484
98	10.5250183
99	10.51528819
100	10.50667453
101	10.50010086
102	10.49098673
103	10.47284527
104	10.46297138
105	10.44780722
106	10.44477296
107	10.43373917
108	10.42858303
109	10.42413301
110	10.41680326
111	10.40660598
112	10.40165894
113	10.39550249
114	10.38707269
115	10.37783812
116	10.36751416
117	10.36371067
118	10.35845224
119	10.35069852
120	10.34422101
121	10.32801576
122	10.32095449
123	10.30549662
124	10.29791111
125	10.29452366
126	10.28745371
127	10.27903554
128	10.26749583
129	10.26118422
130	10.2466508
131	10.24051364
132	10.23181369
133	10.2235863
134	10.20590334
135	10.20298005
136	10.19005633
137	10.17679989
138	10.17174713
139	10.16038152
140	10.15121959
141	10.14527559
142	10.14320022
143	10.13950751
144	10.13456126
145	10.1315688
146	10.12044009
147	10.11453718
148	10.10777746
149	10.09781206
150	10.08717743
151	10.08314261
152	10.08120961
153	10.07751744
154	10.06435839
155	10.05712134
156	10.0469679
157	10.04464975
158	10.02126798
159	10.01160184
160	10.00830796
161	9.995705582
162	9.991088203
