iter	Passed	Remaining
0	59	59382
1	70	35195
2	79	26559
3	89	22283
4	100	19974
5	109	18171
6	121	17204
7	130	16147
8	140	15505
9	150	14880
10	161	14488
11	171	14132
12	180	13701
13	191	13486
14	201	13231
15	209	12913
16	221	12804
17	230	12599
18	240	12440
19	250	12291
20	259	12078
21	270	12019
22	279	11874
23	290	11794
24	299	11678
25	308	11547
26	321	11581
27	341	11851
28	355	11887
29	369	11942
30	385	12058
31	401	12155
32	417	12239
33	436	12398
34	452	12476
35	468	12554
36	482	12554
37	497	12606
38	511	12606
39	524	12590
40	539	12615
41	554	12657
42	563	12549
43	574	12477
44	584	12399
45	592	12287
46	602	12218
47	610	12102
48	620	12036
49	627	11930
50	637	11863
51	648	11828
52	657	11748
53	667	11686
54	676	11622
55	686	11575
56	696	11520
57	704	11449
58	715	11417
59	725	11368
60	737	11350
61	752	11384
62	766	11399
63	774	11332
64	786	11319
65	796	11269
66	805	11218
67	817	11201
68	825	11137
69	838	11145
70	850	11127
71	858	11064
72	871	11067
73	888	11116
74	905	11162
75	921	11208
76	935	11212
77	955	11295
78	967	11281
79	987	11361
80	1002	11370
81	1019	11411
82	1033	11423
83	1048	11430
84	1055	11366
85	1065	11325
86	1077	11304
87	1086	11261
88	1095	11218
89	1103	11159
90	1114	11130
91	1132	11172
92	1147	11187
93	1159	11178
94	1179	11231
95	1187	11182
96	1197	11148
97	1213	11164
98	1230	11199
99	1239	11156
100	1250	11129
101	1259	11089
102	1268	11046
103	1278	11015
104	1286	10965
105	1299	10959
106	1314	10969
107	1325	10944
108	1338	10942
109	1352	10943
110	1373	11002
111	1395	11060
112	1408	11053
113	1429	11110
114	1443	11106
115	1460	11130
116	1473	11123
117	1484	11095
118	1497	11086
119	1514	11106
120	1529	11110
121	1537	11063
122	1549	11048
123	1568	11078
124	1578	11050
125	1589	11027
126	1602	11018
127	1619	11031
128	1629	11005
129	1642	10988
130	1650	10948
131	1659	10915
132	1670	10890
133	1679	10857
134	1689	10825
135	1698	10788
136	1710	10775
137	1719	10740
138	1729	10711
139	1739	10685
140	1747	10648
141	1758	10623
142	1768	10599
143	1780	10581
144	1788	10546
145	1804	10552
146	1820	10564
147	1834	10558
148	1843	10528
149	1853	10505
150	1863	10480
151	1878	10479
152	1890	10463
153	1906	10474
154	1923	10487
155	1935	10469
156	1943	10433
157	1952	10402
158	1962	10379
159	1971	10351
160	1980	10319
161	1989	10289
162	1998	10261
163	2008	10240
164	2016	10206
165	2026	10179
166	2034	10149
167	2043	10121
168	2051	10088
169	2060	10059
170	2070	10039
171	2080	10017
172	2095	10017
173	2114	10036
174	2129	10038
175	2141	10024
176	2158	10038
177	2174	10039
178	2186	10027
179	2197	10012
180	2216	10031
181	2242	10077
182	2269	10130
183	2295	10178
184	2317	10210
185	2339	10239
186	2353	10230
187	2369	10235
188	2405	10323
189	2429	10357
190	2456	10403
191	2470	10398
192	2481	10376
193	2492	10353
194	2502	10332
195	2514	10315
196	2523	10286
197	2552	10340
198	2575	10367
199	2597	10389
200	2638	10488
201	2668	10540
202	2684	10539
203	2695	10517
204	2707	10499
205	2721	10487
206	2739	10494
207	2766	10535
208	2783	10535
209	2796	10519
210	2812	10518
211	2826	10504
212	2838	10487
213	2848	10461
214	2859	10439
215	2871	10423
216	2887	10419
217	2901	10409
218	2920	10414
219	2940	10425
220	2964	10451
221	2983	10456
222	3006	10475
223	3039	10529
224	3062	10547
225	3130	10722
226	3189	10860
227	3213	10880
228	3256	10965
229	3279	10979
230	3318	11048
231	3358	11119
232	3394	11172
233	3424	11208
234	3475	11314
235	3507	11353
236	3547	11419
237	3588	11488
238	3626	11547
239	3656	11577
240	3684	11603
241	3724	11665
242	3766	11733
243	3795	11758
244	3837	11826
245	3869	11858
246	3908	11914
247	3945	11963
248	3981	12008
249	4031	12094
250	4065	12131
251	4117	12221
252	4163	12293
253	4201	12338
254	4268	12470
255	4317	12546
256	4350	12576
257	4403	12665
258	4443	12711
259	4489	12777
260	4534	12837
261	4560	12847
262	4573	12816
263	4589	12794
264	4605	12774
265	4620	12749
266	4650	12767
267	4685	12797
268	4726	12844
269	4771	12900
270	4803	12920
271	4860	13009
272	4898	13044
273	4920	13038
274	4940	13025
275	4958	13006
276	4981	13002
277	5007	13005
278	5033	13007
279	5047	12980
280	5074	12984
281	5092	12964
282	5105	12934
283	5116	12898
284	5129	12868
285	5153	12864
286	5173	12853
287	5188	12825
288	5207	12811
289	5219	12777
290	5230	12743
291	5243	12713
292	5255	12681
293	5264	12643
294	5280	12619
295	5295	12594
296	5316	12583
297	5329	12555
298	5340	12521
299	5355	12495
300	5373	12478
301	5393	12466
302	5414	12455
303	5437	12448
304	5458	12438
305	5476	12421
306	5492	12398
307	5508	12377
308	5528	12363
309	5545	12342
310	5556	12309
311	5567	12276
312	5582	12252
313	5597	12229
314	5623	12229
315	5639	12207
316	5671	12220
317	5696	12216
318	5712	12195
319	5740	12198
320	5761	12187
321	5788	12188
322	5805	12168
323	5823	12149
324	5848	12147
325	5868	12133
326	5890	12123
327	5911	12111
328	5921	12077
329	5934	12049
330	5949	12024
331	5967	12006
332	5983	11985
333	5998	11960
334	6014	11938
335	6025	11907
336	6035	11873
337	6041	11833
338	6049	11796
339	6057	11759
340	6070	11730
341	6086	11710
342	6106	11696
343	6124	11679
344	6141	11659
345	6150	11624
346	6160	11592
347	6169	11558
348	6176	11521
349	6183	11483
350	6191	11448
351	6199	11412
352	6208	11379
353	6216	11345
354	6225	11311
355	6234	11278
356	6247	11252
357	6265	11235
358	6272	11200
359	6282	11169
360	6291	11136
361	6299	11102
362	6315	11081
363	6328	11057
364	6341	11031
365	6351	11001
366	6364	10978
367	6374	10946
368	6385	10920
369	6400	10897
370	6408	10864
371	6417	10833
372	6425	10800
373	6436	10772
374	6443	10739
375	6452	10707
376	6460	10676
377	6469	10645
378	6480	10618
379	6489	10588
380	6501	10562
381	6512	10535
382	6524	10510
383	6540	10491
384	6552	10466
385	6562	10438
386	6572	10410
387	6585	10387
388	6595	10360
389	6606	10332
390	6617	10307
391	6631	10285
392	6641	10257
393	6649	10227
394	6657	10197
395	6667	10170
396	6674	10138
397	6681	10106
398	6688	10075
399	6696	10044
400	6703	10013
401	6710	9982
402	6719	9953
403	6728	9926
404	6737	9898
405	6746	9870
406	6756	9843
407	6764	9814
408	6772	9786
409	6779	9756
410	6788	9728
411	6796	9700
412	6805	9672
413	6815	9647
414	6823	9619
415	6833	9593
416	6844	9569
417	6858	9549
418	6870	9527
419	6881	9503
420	6892	9479
421	6901	9453
422	6916	9435
423	6925	9407
424	6933	9381
425	6943	9355
426	6961	9342
427	6980	9329
428	6991	9305
429	7005	9286
430	7014	9261
431	7033	9247
432	7043	9223
433	7053	9198
434	7063	9173
435	7073	9149
436	7084	9126
437	7094	9102
438	7105	9079
439	7115	9055
440	7129	9036
441	7138	9012
442	7150	8990
443	7159	8965
444	7171	8944
445	7184	8923
446	7195	8902
447	7204	8877
448	7215	8855
449	7224	8830
450	7233	8805
451	7245	8784
452	7256	8762
453	7264	8736
454	7272	8711
455	7281	8686
456	7290	8661
457	7297	8636
458	7306	8611
459	7315	8587
460	7322	8561
461	7330	8536
462	7337	8510
463	7345	8485
464	7354	8461
465	7363	8438
466	7372	8414
467	7380	8389
468	7389	8366
469	7397	8342
470	7406	8318
471	7415	8295
472	7424	8271
473	7433	8248
474	7441	8225
475	7449	8200
476	7456	8175
477	7464	8151
478	7472	8127
479	7481	8105
480	7489	8081
481	7497	8057
482	7505	8033
483	7513	8010
484	7522	7987
485	7528	7962
486	7535	7937
487	7547	7918
488	7557	7897
489	7566	7875
490	7574	7851
491	7582	7829
492	7591	7806
493	7599	7783
494	7608	7762
495	7617	7740
496	7625	7718
497	7635	7696
498	7642	7672
499	7650	7650
500	7660	7629
501	7670	7609
502	7682	7591
503	7693	7571
504	7705	7552
505	7715	7532
506	7727	7513
507	7742	7498
508	7753	7479
509	7766	7462
510	7781	7446
511	7797	7431
512	7810	7414
513	7828	7402
514	7843	7386
515	7852	7365
516	7862	7345
517	7873	7326
518	7882	7305
519	7892	7285
520	7901	7264
521	7910	7243
522	7923	7226
523	7938	7211
524	7948	7191
525	7957	7171
526	7966	7150
527	7976	7130
528	7987	7111
529	7998	7092
530	8012	7076
531	8024	7058
532	8033	7038
533	8043	7019
534	8056	7002
535	8070	6986
536	8082	6968
537	8091	6948
538	8101	6929
539	8109	6908
540	8123	6892
541	8130	6870
542	8139	6850
543	8145	6828
544	8155	6808
545	8164	6789
546	8176	6771
547	8185	6751
548	8195	6732
549	8205	6713
550	8214	6694
551	8225	6676
552	8235	6657
553	8244	6637
554	8254	6618
555	8264	6599
556	8274	6580
557	8287	6564
558	8302	6549
559	8315	6533
560	8333	6520
561	8347	6505
562	8355	6485
563	8362	6464
564	8372	6445
565	8382	6427
566	8390	6407
567	8399	6388
568	8407	6368
569	8416	6349
570	8425	6330
571	8434	6311
572	8446	6294
573	8461	6279
574	8469	6260
575	8477	6240
576	8485	6220
577	8494	6202
578	8504	6183
579	8513	6164
580	8523	6147
581	8535	6130
582	8545	6112
583	8556	6095
584	8578	6085
585	8594	6072
586	8604	6053
587	8619	6039
588	8634	6024
589	8649	6010
590	8663	5995
591	8677	5980
592	8694	5967
593	8709	5952
594	8722	5936
595	8735	5921
596	8748	5905
597	8757	5886
598	8767	5869
599	8780	5853
600	8789	5835
601	8800	5818
602	8812	5801
603	8821	5783
604	8830	5765
605	8840	5747
606	8851	5730
607	8861	5713
608	8872	5696
609	8886	5681
610	8899	5665
611	8910	5649
612	8929	5637
613	8942	5621
614	8956	5607
615	8967	5589
616	8982	5575
617	9003	5565
618	9020	5552
619	9036	5538
620	9047	5522
621	9056	5504
622	9066	5486
623	9076	5468
624	9086	5452
625	9096	5434
626	9105	5416
627	9118	5401
628	9134	5387
629	9152	5375
630	9170	5363
631	9193	5353
632	9204	5336
633	9219	5322
634	9233	5307
635	9247	5292
636	9260	5276
637	9270	5259
638	9290	5248
639	9314	5239
640	9338	5229
641	9358	5218
642	9379	5207
643	9402	5197
644	9428	5189
645	9447	5177
646	9465	5164
647	9478	5148
648	9498	5136
649	9510	5121
650	9524	5106
651	9534	5089
652	9545	5072
653	9556	5055
654	9568	5039
655	9584	5025
656	9603	5013
657	9619	4999
658	9636	4986
659	9645	4968
660	9653	4950
661	9663	4933
662	9679	4919
663	9685	4901
664	9695	4883
665	9704	4866
666	9713	4849
667	9724	4832
668	9732	4815
669	9744	4799
670	9753	4782
671	9762	4765
672	9772	4748
673	9783	4731
674	9796	4716
675	9805	4699
676	9813	4682
677	9822	4664
678	9830	4647
679	9839	4630
680	9846	4612
681	9855	4595
682	9862	4577
683	9871	4560
684	9879	4543
685	9887	4525
686	9896	4509
687	9908	4493
688	9916	4475
689	9924	4458
690	9934	4442
691	9945	4426
692	9962	4413
693	9977	4399
694	9990	4384
695	10009	4371
696	10026	4358
697	10036	4342
698	10048	4326
699	10060	4311
700	10076	4297
701	10089	4283
702	10099	4266
703	10110	4251
704	10125	4237
705	10142	4223
706	10151	4207
707	10162	4191
708	10176	4176
709	10189	4161
710	10207	4148
711	10219	4133
712	10231	4118
713	10244	4103
714	10258	4088
715	10270	4073
716	10282	4058
717	10293	4042
718	10302	4026
719	10315	4011
720	10328	3996
721	10341	3981
722	10356	3967
723	10370	3953
724	10379	3937
725	10395	3923
726	10411	3909
727	10427	3895
728	10440	3881
729	10453	3866
730	10469	3852
731	10482	3837
732	10499	3824
733	10511	3809
734	10522	3793
735	10533	3778
736	10547	3763
737	10557	3747
738	10566	3731
739	10578	3716
740	10589	3701
741	10603	3687
742	10620	3673
743	10635	3659
744	10655	3647
745	10672	3633
746	10692	3621
747	10701	3605
748	10711	3589
749	10725	3575
750	10746	3562
751	10756	3547
752	10766	3531
753	10776	3516
754	10787	3500
755	10798	3485
756	10807	3469
757	10818	3453
758	10828	3438
759	10839	3423
760	10849	3407
761	10858	3391
